bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
64,65,267820,267820,17140480
65,66,79,79,5135
66,67,44873,44873,2961618
67,68,16429,16429,1100743
68,69,226098,226098,15374664
69,70,10022,10022,691518
70,71,141297,141297,9890790
71,72,1585,1585,112535
72,73,6932,6932,499104
73,74,4103,4103,299519
74,75,41967,41967,3105558
75,76,8464,8464,634800
76,77,2516,2516,191216
77,78,8380,8380,645260
78,79,19008,19008,1482624
79,80,1972,1972,155788
80,81,3703,3703,296240
81,82,7033,7033,569673
82,83,40633,40633,3331906
83,84,27628,27628,2293124
84,85,24680,24680,2073120
85,86,13075,13075,1111375
86,87,21967,21967,1889162
87,88,10901,10901,948387
88,89,16853,16853,1483064
89,90,17036,17036,1516204
90,91,21902,21902,1971180
91,92,19605,19605,1784055
92,93,25517,25517,2347564
93,94,32465,32465,3019245
94,95,48929,48929,4599326
95,96,28959,28959,2751105
96,97,37502,37502,3600192
97,98,40459,40459,3924523
98,99,40754,40754,3993892
99,100,44605,44605,4415895
100,101,34054,34054,3405400
101,102,31798,31798,3211598
102,103,82700,82700,8435400
103,104,18747,18747,1930941
104,105,20616,20616,2144064
105,106,14631,14631,1536255
106,107,13403,13403,1420718
107,108,13609,13609,1456163
108,109,20312,20312,2193696
109,110,10000,10000,1090000
110,111,9684,9684,1065240
111,112,40527,40527,4498497
112,113,28552,28552,3197824
113,114,23616,23616,2668608
114,115,34168,34168,3895152
115,116,60364,60364,6941860
116,117,15762,15762,1828392
117,118,7431,7431,869427
118,119,12185,12185,1437830
119,120,6714,6714,798966
120,121,6197,6197,743640
121,122,3586,3586,433906
122,123,8124,8124,991128
123,124,14099,14099,1734177
124,125,9952,9952,1234048
125,126,3416,3416,427000
126,127,3737,3737,470862
127,128,7211,7211,915797
128,129,50171,93037,6421888
129,130,3364,3386,433956
130,131,9440,10950,1227200
131,132,5247,6623,687357
132,133,12742,21332,1681944
133,134,5960,8490,792680
134,135,10104,16203,1353936
135,136,6267,6440,846045
136,137,70997,137012,9655592
137,138,7891,10335,1081067
138,139,9170,11456,1265460
139,140,7194,7632,999966
140,141,270723,534470,37901220
141,142,12684,17920,1788444
142,143,7783,10891,1105186
143,144,6763,6958,967109
144,145,57688,58247,8307072
145,146,5812,8577,842740
146,147,7062,7723,1031052
147,148,47581,47813,6994407
148,149,61774,110383,9142552
149,150,33180,33761,4943820
150,151,19103,25317,2865450
151,152,18997,19715,2868547
152,153,26989,28825,4102328
153,154,19546,26510,2990538
154,155,23754,41741,3658116
155,156,9331,10181,1446305
156,157,25487,44032,3975972
157,158,3334,3730,523438
158,159,7937,8658,1254046
159,160,17049,20292,2710791
160,161,19837,35261,3173920
161,162,11568,13737,1862448
162,163,5316,6453,861192
163,164,19954,21859,3252502
164,165,10364,14571,1699696
165,166,8088,9694,1334520
166,167,9671,12759,1605386
167,168,6915,9465,1154805
168,169,10817,13157,1817256
169,170,13086,14299,2211534
170,171,11365,14566,1932050
171,172,20126,26220,3441546
172,173,10367,13254,1783124
173,174,5422,6356,938006
174,175,4474,6470,778476
175,176,6768,10303,1184400
176,177,6941,11282,1221616
177,178,5718,8339,1012086
178,179,5645,9036,1004810
179,180,7348,9880,1315292
180,181,5983,10317,1076940
181,182,4870,7272,881470
182,183,6161,10652,1121302
183,184,8039,13079,1471137
184,185,8764,14814,1612576
185,186,5323,9445,984755
186,187,9868,17687,1835448
187,188,5681,9393,1062347
188,189,13321,23880,2504348
189,190,5901,9749,1115289
190,191,12395,19473,2355050
191,192,8098,11719,1546718
192,193,26389,67545,5066688
193,194,6951,10865,1341543
194,195,11705,21656,2270770
195,196,7835,12424,1527825
196,197,12088,23187,2369248
197,198,14862,27488,2927814
198,199,44895,109915,8889210
199,200,6663,11595,1325937
200,201,9280,17399,1856000
201,202,8268,15812,1661868
202,203,10495,20188,2119990
203,204,7595,13714,1541785
204,205,38087,95946,7769748
205,206,5801,10458,1189205
206,207,8838,19368,1820628
207,208,6765,10555,1400355
208,209,6314,13598,1313312
209,210,4299,7692,898491
210,211,20167,55598,4235070
211,212,2244,3842,473484
212,213,16163,31520,3426556
213,214,2100,3511,447300
214,215,3152,6018,674528
215,216,3464,5910,744760
216,217,5453,11026,1177848
217,218,7234,18622,1569778
218,219,8573,23206,1868914
219,220,1787,2823,391353
220,221,5094,9880,1120680
221,222,1443,2541,318903
222,223,11376,29679,2525472
223,224,6236,13462,1390628
224,225,2886,5193,646464
225,226,2147,4390,483075
226,227,2913,5440,658338
227,228,2659,4976,603593
228,229,4537,8346,1034436
229,230,4196,6722,960884
230,231,4914,10060,1130220
231,232,4321,7659,998151
232,233,3054,5390,708528
233,234,2110,3918,491630
234,235,9065,24523,2121210
235,236,3387,6069,795945
236,237,3350,5500,790600
237,238,2772,4747,656964
238,239,3375,5166,803250
239,240,3979,7505,950981
240,241,3675,6220,882000
241,242,4259,8365,1026419
242,243,11404,27814,2759768
243,244,2529,3953,614547
244,245,4153,7015,1013332
245,246,2650,4456,649250
246,247,7489,17221,1842294
247,248,4863,8391,1201161
248,249,4095,6401,1015560
249,250,3282,6559,817218
250,251,3015,4562,753750
251,252,1848,3062,463848
252,253,2536,3912,639072
253,254,2296,3931,580888
254,255,4551,6769,1155954
255,256,2840,5087,724200
256,257,9690,30398,2480640
257,258,3881,5205,997417
258,259,5312,12518,1370496
259,260,3283,5496,850297
260,261,4875,8340,1267500
261,262,1742,3101,454662
262,263,8811,28598,2308482
263,264,2862,4446,752706
264,265,4441,11244,1172424
265,266,2542,4741,673630
266,267,4331,8074,1152046
267,268,3623,10599,967341
268,269,7323,21378,1962564
269,270,4776,10479,1284744
270,271,6399,12415,1727730
271,272,3775,8530,1023025
272,273,16507,55328,4489904
273,274,2822,6332,770406
274,275,4310,9357,1180940
275,276,3190,5927,877250
276,277,3993,9659,1102068
277,278,5692,8913,1576684
278,279,8767,26876,2437226
279,280,3789,9224,1057131
280,281,13590,46070,3805200
281,282,3945,9400,1108545
282,283,14706,41610,4147092
283,284,3630,9148,1027290
284,285,5658,15812,1606872
285,286,5456,15727,1554960
286,287,6662,19051,1905332
287,288,5656,13159,1623272
288,289,6879,19676,1981152
289,290,3150,6948,910350
290,291,3975,8979,1152750
291,292,5472,12445,1592352
292,293,4095,8733,1195740
293,294,2823,6461,827139
294,295,8424,19068,2476656
295,296,2466,5785,727470
296,297,10473,35005,3100008
297,298,3182,7226,945054
298,299,3647,8089,1086806
299,300,2743,6699,820157
300,301,4097,10760,1229100
301,302,2578,6336,775978
302,303,5355,12904,1617210
303,304,4935,12400,1495305
304,305,4278,10016,1300512
305,306,2219,5165,676795
306,307,5589,13297,1710234
307,308,3219,6311,988233
308,309,3380,7306,1041040
309,310,3190,8133,985710
310,311,5339,13932,1655090
311,312,3711,9054,1154121
312,313,6024,13173,1879488
313,314,2665,5584,834145
314,315,2758,5372,866012
315,316,1674,4026,527310
316,317,7772,11242,2455952
317,318,1917,3733,607689
318,319,8985,14368,2857230
319,320,3165,7860,1009635
320,321,14051,42828,4496320
321,322,2760,5219,885960
322,323,7794,10750,2509668
323,324,2525,4671,815575
324,325,2593,6480,840132
325,326,1989,4486,646425
326,327,3226,9800,1051676
327,328,2086,4150,682122
328,329,2466,6657,808848
329,330,1850,3812,608650
330,331,4438,15806,1464540
331,332,7542,10747,2496402
332,333,3897,11848,1293804
333,334,14031,18826,4672323
334,335,3404,8674,1136936
335,336,21063,24797,7056105
336,337,4537,8506,1524432
337,338,24605,26827,8291885
338,339,2575,6637,870350
339,340,9785,12531,3317115
340,341,8967,35238,3048780
341,342,33218,36626,11327338
342,343,4288,9354,1466496
343,344,6699,9860,2297757
344,345,6423,11915,2209512
345,346,2968,6447,1023960
346,347,12219,35794,4227774
347,348,1878,3656,651666
348,349,11521,24629,4009308
349,350,1523,3657,531527
350,351,18305,33466,6406750
351,352,1787,5059,627237
352,353,3956,11738,1392512
353,354,2924,8023,1032172
354,355,7958,17115,2817132
355,356,1628,3652,577940
356,357,2325,5518,827700
357,358,2276,5083,812532
358,359,2562,5874,917196
359,360,1854,3987,665586
360,361,3129,11338,1126440
361,362,1638,3943,591318
362,363,1846,5279,668252
363,364,1606,4245,582978
364,365,2024,5727,736736
365,366,2858,5423,1043170
366,367,3191,7624,1167906
367,368,4428,7066,1625076
368,369,5872,10704,2160896
369,370,10297,13447,3799593
370,371,3138,11702,1161060
371,372,1652,5036,612892
372,373,6830,17521,2540760
373,374,2290,4711,854170
374,375,2966,8492,1109284
375,376,2276,7094,853500
376,377,3643,11610,1369768
377,378,1371,3978,516867
378,379,1714,4956,647892
379,380,1477,4267,559783
380,381,3781,11917,1436780
381,382,1765,5241,672465
382,383,2259,6717,862938
383,384,1587,4254,607821
384,385,6531,30563,2507904
385,386,2616,6704,1007160
386,387,2055,6370,793230
387,388,1926,5241,745362
388,389,3867,13447,1500396
389,390,1873,5022,728597
390,391,3498,13595,1364220
391,392,1813,4265,708883
392,393,3082,10108,1208144
393,394,2025,6451,795825
394,395,2794,9849,1100836
395,396,1413,3685,558135
396,397,11367,61300,4501332
397,398,1953,6896,775341
398,399,3247,14329,1292306
399,400,34913,74356,13930287
400,401,2871,10751,1148400
401,402,2120,7403,850120
402,403,2555,8279,1027110
403,404,1445,4702,582335
404,405,3428,14718,1384912
405,406,1426,4340,577530
406,407,1413,4576,573678
407,408,1466,4564,596662
408,409,8624,43783,3518592
409,410,1288,3671,526792
410,411,3816,15786,1564560
411,412,1813,6010,745143
412,413,1815,6104,747780
413,414,1166,3419,481558
414,415,2605,10429,1078470
415,416,1470,4060,610050
416,417,2323,9063,966368
417,418,6146,13399,2562882
418,419,1818,5266,759924
419,420,1446,4653,605874
420,421,6152,30432,2583840
421,422,1105,3151,465205
422,423,1565,5047,660430
423,424,1445,3785,611235
424,425,11058,15287,4688592
425,426,985,3053,418625
426,427,1527,5276,650502
427,428,1088,3384,464576
428,429,4267,21994,1826276
429,430,1092,3028,468468
430,431,1676,5844,720680
431,432,1892,5423,815452
432,433,1908,6301,824256
433,434,1231,3739,533023
434,435,1521,6103,660114
435,436,1541,4064,670335
436,437,2972,10359,1295792
437,438,1745,5308,762565
438,439,3162,13009,1384956
439,440,1883,6122,826637
440,441,8683,12927,3820520
441,442,2147,6289,946827
442,443,1010,3484,446420
443,444,1316,3926,582988
444,445,3957,18107,1756908
445,446,2719,11816,1209955
446,447,1230,4547,548580
447,448,1557,4100,695979
448,449,1853,8803,830144
449,450,883,2845,396467
450,451,1437,5642,646650
451,452,1084,3650,488884
452,453,1918,5164,866936
453,454,1320,4473,597960
454,455,1323,5082,600642
455,456,1282,4494,583310
456,457,4910,8695,2238960
457,458,1043,3210,476651
458,459,4354,18572,1994132
459,460,2872,7841,1318248
460,461,4455,10899,2049300
461,462,4777,8027,2202197
462,463,6297,17312,2909214
463,464,1720,4455,796360
464,465,1581,5158,733584
465,466,2175,7832,1011375
466,467,1808,6565,842528
467,468,1255,4428,586085
468,469,2870,9078,1343160
469,470,2340,7485,1097460
470,471,2001,7967,940470
471,472,1630,4967,767730
472,473,5452,9855,2573344
473,474,2201,4752,1041073
474,475,2469,8066,1170306
475,476,1577,5062,749075
476,477,3814,18104,1815464
477,478,2240,7270,1068480
478,479,2148,7033,1026744
479,480,2741,8120,1312939
480,481,2458,8151,1179840
481,482,1452,4035,698412
482,483,2095,8304,1009790
483,484,1545,5365,746235
484,485,2063,7403,998492
485,486,1623,5783,787155
486,487,1770,5344,860220
487,488,1100,3582,535700
488,489,4149,8845,2024712
489,490,1440,4418,704160
490,491,5526,23342,2707740
491,492,1080,3111,530280
492,493,2915,10299,1434180
493,494,1510,4546,744430
494,495,2428,7972,1199432
495,496,1506,4496,745470
