bin_lo,bin_hi,flows_sum,packets_sum,octets_sum
1,2,2069216,2069216,337461505
2,3,436076,872152,139636477
3,4,173235,519705,81224623
4,5,89438,357752,56695666
5,6,48236,241180,36979109
6,7,34259,205554,32600476
7,8,21323,149261,24039321
8,9,16762,134096,21414224
9,10,11006,99054,16449297
10,11,9766,97660,16425222
11,12,6788,74668,13506409
12,13,5842,70104,12754670
13,14,4605,59865,12314850
14,15,4227,59178,12330917
15,16,3676,55140,11353227
16,17,3377,54032,10884630
17,18,2473,42041,8813496
18,19,2445,44010,9276042
19,20,1915,36385,8196780
20,21,2125,42500,8356325
21,22,1720,36120,7776161
22,23,1347,29634,7024902
23,24,1100,25300,6020634
24,25,1083,25992,6031526
25,26,940,23500,5381663
26,27,964,25064,5757505
27,28,875,23625,4824061
28,29,864,24192,4928612
29,30,957,27753,5826445
30,31,829,24870,4950932
31,32,617,19127,4203794
32,33,755,24160,5058106
33,34,582,19206,4491825
34,35,488,16592,4093242
35,36,538,18830,3700085
36,37,722,25992,4591174
37,38,446,16502,3688709
38,39,385,14630,3431161
39,40,410,15990,3561692
40,41,521,20840,4202671
41,42,360,14760,3395065
42,43,336,14112,2983627
43,44,391,16813,3258227
44,45,312,13728,2763651
45,46,335,15075,3419226
46,47,235,10810,2605961
47,48,299,14053,3777958
48,49,229,10992,2814357
49,50,242,11858,2996756
50,51,194,9700,2464548
51,52,198,10098,2928993
52,53,207,10764,3105791
53,54,210,11130,2757008
54,55,171,9234,2575655
55,56,184,10120,2542046
56,57,152,8512,2030955
57,58,165,9405,2920981
58,59,155,8990,2259327
59,60,144,8496,2286800
60,61,204,12240,3182436
61,62,149,9089,2447651
62,63,132,8184,2490794
63,64,127,8001,1975415
64,65,195,12480,2946760
65,66,126,8190,2480309
66,67,126,8316,2336596
67,68,130,8710,2765852
68,69,115,7820,2169644
69,70,121,8349,2386271
70,71,141,9870,2471956
71,72,112,7952,2602794
72,73,145,10440,2331804
73,74,88,6424,1545817
74,75,109,8066,2471171
75,76,111,8325,2375952
76,77,95,7220,1874332
77,78,100,7700,2527353
78,79,99,7722,2308681
79,80,81,6399,1596682
80,81,109,8720,2615873
81,82,93,7533,2182837
82,83,79,6478,1925571
83,84,66,5478,1338095
84,85,89,7476,2152886
85,86,58,4930,1265614
86,87,82,7052,2014288
87,88,49,4263,1273556
88,89,59,5192,1661989
89,90,58,5162,1456035
90,91,60,5400,1424231
91,92,83,7553,1975761
92,93,66,6072,1780426
93,94,58,5394,1436401
94,95,70,6580,1901642
95,96,66,6270,2372547
96,97,60,5760,2095839
97,98,59,5723,1803040
98,99,65,6370,2250087
99,100,68,6732,2901324
100,101,58,5800,1588866
101,102,69,6969,2534846
102,103,68,6936,1861530
103,104,78,8034,2522837
104,105,45,4680,1651713
105,106,63,6615,2612031
106,107,62,6572,2115488
107,108,48,5136,1272590
108,109,58,6264,2263091
109,110,48,5232,1511319
110,111,65,7150,1801075
111,112,51,5661,1697635
112,113,49,5488,1672127
113,114,54,6102,1907378
114,115,43,4902,1697964
115,116,44,5060,1793193
116,117,42,4872,1364936
117,118,62,7254,2157353
118,119,41,4838,1490757
119,120,48,5712,1850553
120,121,47,5640,1755549
121,122,58,7018,1660194
122,123,42,5124,1566379
123,124,53,6519,1775783
124,125,39,4836,1544805
125,126,33,4125,1192485
126,127,58,7308,1683747
127,128,40,5080,1480759
128,129,58,7424,1987857
129,130,46,5934,1370471
130,131,57,7410,2655739
131,132,41,5371,1593850
132,133,37,4884,1640497
133,134,38,5054,1223153
134,135,45,6030,2061835
135,136,43,5805,2059627
136,137,39,5304,1497212
137,138,36,4932,1685395
138,139,35,4830,1277570
139,140,31,4309,1028716
140,141,45,6300,1685994
141,142,34,4794,1712856
142,143,42,5964,2403612
143,144,37,5291,1113726
144,145,33,4752,1193898
145,146,43,6235,2092138
146,147,34,4964,1735778
147,148,47,6909,2010024
148,149,28,4144,1475176
149,150,29,4321,1372888
150,151,37,5550,2026264
151,152,31,4681,1584345
152,153,29,4408,1453356
153,154,38,5814,1772709
154,155,48,7392,2498903
155,156,23,3565,776354
156,157,37,5772,2284879
157,158,32,5024,1870109
158,159,35,5530,1477322
159,160,32,5088,1166758
160,161,35,5600,1572209
161,162,21,3381,1022295
162,163,38,6156,2599224
163,164,30,4890,1496225
164,165,41,6724,1767504
165,166,23,3795,1670681
166,167,23,3818,1405282
167,168,22,3674,853140
168,169,33,5544,995313
169,170,31,5239,1830207
170,171,29,4930,1503059
171,172,31,5301,1961450
172,173,32,5504,2436253
173,174,34,5882,2243966
174,175,32,5568,1866698
175,176,32,5600,2403438
176,177,34,5984,1960390
177,178,21,3717,1431582
178,179,32,5696,1749299
179,180,21,3759,1575647
180,181,24,4320,1350048
181,182,22,3982,1206550
182,183,27,4914,931461
183,184,38,6954,2327185
184,185,23,4232,978932
185,186,23,4255,1318327
186,187,35,6510,2248454
187,188,29,5423,1656670
188,189,28,5264,1626213
189,190,23,4347,1921483
190,191,21,3990,1426549
191,192,22,4202,1410745
192,193,31,5952,1706055
193,194,23,4439,1782720
194,195,20,3880,929284
195,196,30,5850,1942004
196,197,36,7056,1981694
197,198,18,3546,1436605
198,199,17,3366,1230082
199,200,20,3980,1382728
200,201,20,4000,1535566
201,202,24,4824,1512065
202,203,18,3636,1591651
203,204,19,3857,1219407
204,205,14,2856,823085
205,206,21,4305,1963251
206,207,26,5356,2103299
207,208,23,4761,1423871
208,209,27,5616,1809436
209,210,21,4389,1577285
210,211,8,1680,506600
211,212,18,3798,1771843
212,213,22,4664,1397965
213,214,25,5325,1904776
214,215,24,5136,1445469
215,216,20,4300,1014349
216,217,16,3456,1844752
217,218,15,3255,1182007
218,219,15,3270,1190877
219,220,14,3066,1436398
220,221,15,3300,892143
221,222,19,4199,1877639
222,223,20,4440,1362093
223,224,23,5129,2152233
224,225,15,3360,1218758
225,226,16,3600,1281158
226,227,14,3164,1475248
227,228,20,4540,1464557
228,229,20,4560,1491626
229,230,21,4809,1676264
230,231,21,4830,2190180
231,232,14,3234,1021777
232,233,12,2784,816401
233,234,23,5359,2211924
234,235,20,4680,1206218
235,236,14,3290,1738165
236,237,18,4248,964132
237,238,13,3081,706499
238,239,11,2618,948318
239,240,17,4063,1511746
240,241,13,3120,1152537
241,242,7,1687,401132
242,243,25,6050,2548790
243,244,10,2430,1180913
244,245,32,7808,7922248
245,246,16,3920,1119541
246,247,17,4182,1329541
247,248,13,3211,1562232
248,249,10,2480,1124727
249,250,16,3984,1163267
250,251,16,4000,2752990
251,252,15,3765,1088490
252,253,10,2520,1202742
253,254,12,3036,1469219
254,255,9,2286,455381
255,256,11,2805,1368970
256,257,20,5120,2494572
257,258,16,4112,2268018
258,259,10,2580,856961
259,260,11,2849,664896
260,261,17,4420,1420782
261,262,11,2871,470025
262,263,25,6550,2415801
263,264,13,3419,1852125
264,265,9,2376,755224
265,266,11,2915,996715
266,267,7,1862,1138023
267,268,9,2403,1182714
268,269,10,2680,860389
269,270,11,2959,642421
270,271,16,4320,1045182
271,272,18,4878,1906437
272,273,10,2720,704747
273,274,10,2730,781115
274,275,18,4932,1834834
275,276,9,2475,1019213
276,277,5,1380,476659
277,278,12,3324,1951011
278,279,13,3614,1059652
279,280,15,4185,1128817
280,281,14,3920,1804886
281,282,14,3934,2396818
282,283,19,5358,1170125
283,284,12,3396,1827444
284,285,14,3976,1215487
285,286,7,1995,955294
286,287,9,2574,880527
287,288,13,3731,576534
288,289,10,2880,1044798
289,290,11,3179,1089740
290,291,18,5220,1742082
291,292,8,2328,1420864
292,293,10,2920,1274494
293,294,10,2930,1639765
294,295,17,4998,2100438
295,296,8,2360,638915
296,297,7,2072,1156992
297,298,5,1485,390175
298,299,10,2980,1509378
299,300,5,1495,704371
300,301,10,3000,1345309
301,302,9,2709,781075
302,303,15,4530,1654791
303,304,9,2727,1177811
304,305,18,5472,1725918
305,306,6,1830,497094
306,307,17,5202,1092637
307,308,15,4605,691844
308,309,10,3080,997511
309,310,6,1854,508759
310,311,5,1550,204662
311,312,11,3421,1384392
312,313,8,2496,1528810
313,314,6,1878,1150637
314,315,11,3454,1228834
315,316,9,2835,1710621
316,317,9,2844,1451709
317,318,11,3487,1354407
318,319,12,3816,1115752
319,320,9,2871,866737
320,321,8,2560,1135748
321,322,11,3531,591433
322,323,8,2576,850989
323,324,7,2261,1418739
324,325,9,2916,1702692
325,326,13,4225,1685933
326,327,14,4564,1756160
327,328,9,2943,961824
328,329,13,4264,2083747
329,330,9,2961,1620425
330,331,5,1650,522082
331,332,10,3310,1857229
332,333,17,5644,1404368
333,334,8,2664,1130980
334,335,11,3674,1685668
335,336,8,2680,666297
336,337,8,2688,617197
337,338,5,1685,868652
338,339,9,3042,1167160
339,340,7,2373,537704
340,341,7,2380,1041345
341,342,11,3751,920744
342,343,5,1710,253737
